x,y,weight
0.0,0.0,44802902.0
0.0,0.25,1024196.0
0.0,0.5,506536.0
0.0,0.75,466913.0
0.25,0.0,30146.0
0.25,0.25,725.0
0.25,0.5,311.0
0.25,0.75,354.0
0.5,0.0,20070.0
0.5,0.25,172.0
0.5,0.5,377.0
0.5,0.75,190.0
0.75,0.0,32670.0
0.75,0.25,2609.0
0.75,0.5,281.0
0.75,0.75,515.0
