x,y,weight
0.0,0.0,46148063.0
0.0,0.25,35711.0
0.0,0.5,30074.0
0.0,0.75,177051.0
0.25,0.0,128564.0
0.25,0.25,82.0
0.25,0.5,68.0
0.25,0.75,1379.0
0.5,0.0,219846.0
0.5,0.25,58.0
0.5,0.5,8.0
0.5,0.75,1044.0
0.75,0.0,146972.0
0.75,0.25,4.0
0.75,0.5,10.0
0.75,0.75,33.0
