x,y,weight
0.0,0.0,46475818.0
0.0,0.25,10817.0
0.0,0.5,17841.0
0.0,0.75,296071.0
0.25,0.0,31471.0
0.25,0.25,7.0
0.25,0.5,0.0
0.25,0.75,58.0
0.5,0.0,20794.0
0.5,0.25,6.0
0.5,0.5,0.0
0.5,0.75,9.0
0.75,0.0,35681.0
0.75,0.25,0.0
0.75,0.5,0.0
0.75,0.75,394.0
