x,y,weight
0.0,0.0,45451190.0
0.0,0.25,377595.0
0.0,0.5,268894.0
0.0,0.75,666281.0
0.25,0.0,53290.0
0.25,0.25,7462.0
0.25,0.5,3172.0
0.25,0.75,7695.0
0.5,0.0,19297.0
0.5,0.25,372.0
0.5,0.5,272.0
0.5,0.75,667.0
0.75,0.0,23299.0
0.75,0.25,696.0
0.75,0.5,2988.0
0.75,0.75,5797.0
