x,y,weight
0.0,0.0,45234539.0
0.0,0.25,875556.0
0.0,0.5,217981.0
0.0,0.75,536785.0
0.25,0.0,1063.0
0.25,0.25,10.0
0.25,0.5,0.0
0.25,0.75,63.0
0.5,0.0,13788.0
0.5,0.25,121.0
0.5,0.5,9.0
0.5,0.75,24.0
0.75,0.0,8848.0
0.75,0.25,110.0
0.75,0.5,26.0
0.75,0.75,44.0
