topic,mean_buzzword,mean_topic
BLOG,0.04715733135855144,0.8160557194381668
WIKI,0.025296123684190437,0.9723060916849948
SHOP,0.0032362949902821243,0.894728192552126
NEWS,0.025742095714344413,0.7733338627132262
