stem,NOT_AI,AI,diff
ai,0.0008623629950326434,0.05107981403253353,0.05021745103750089
and,0.40467097056936874,0.42674487806892253,0.02207390749955379
n,0.00435505983142115,0.024806264415808042,0.020451204584386894
datum,0.011104751836196573,0.030363952456223586,0.019259200620027013
user,0.009064646341294133,0.022235387673628055,0.013170741332333922
tool,0.007565809620192881,0.02060050090561128,0.0130346912854184
model,0.005338058278803278,0.0175327804353138,0.012194722156510521
technology,0.006244607614748971,0.016911784772010392,0.010667177157261423
platform,0.004980838838425608,0.0154169662303735,0.010436127391947892
/,0.04677244832690164,0.0565020348388797,0.009729586511978063
system,0.01258867758028173,0.022199864177594328,0.009611186597312598
t,0.02602218500187252,0.03532455946108851,0.009302374459215994
management,0.005039114854927351,0.013641677045135052,0.008602562190207701
business,0.012437661804174965,0.020965691189208525,0.00852802938503356
feature,0.011526253659302346,0.01993356609724656,0.008407312437944216
market,0.011952239261984262,0.019962576147195137,0.008010336885210875
</,0.0018683913501659323,0.009044804061505589,0.0071764127113396565
+,0.007975770553740456,0.015084267649874857,0.007108497096134401
how,0.0203663470877088,0.027404847217223752,0.007038500129514954
<,0.005500437541338397,0.012471571844478287,0.006971134303139889
customer,0.007792786178599757,0.01433944333640064,0.0065466571578008835
–,0.024916852441572473,0.031432682830620534,0.006515830389048061
google,0.003928087912871865,0.010327047304113343,0.006398959391241478
online,0.008993257132678761,0.014837009279684421,0.00584375214700566
learn,0.007141396355287223,0.012765962532768927,0.005624566177481704
accessory,0.003192659514907976,0.008805219666521875,0.005612560151613899
performance,0.006651365428710492,0.012259745978443587,0.0056083805497330955
use,0.037706495004027236,0.04327901522678671,0.005572520222759475
advance,0.004012444054801796,0.00955348060156236,0.005541036546760564
intelligence,0.0007993740639208689,0.006301701484856594,0.005502327420935725
security,0.006192457212837101,0.011670039559356811,0.0054775823465197096
software,0.003127905918634727,0.00857933742675253,0.005451431508117803
solution,0.0057787244706426055,0.011118352897130052,0.005339628426487447
slot,0.0014579985187193004,0.006755619590466025,0.005297621071746725
miracle,0.00014579227881662574,0.005392318779730969,0.0052465265009143435
process,0.010378907148739203,0.015567741852113846,0.005188834703374643
href,0.00041047854139806823,0.005594256296656657,0.005183777755258589
image,0.004966693621812616,0.010086217756739818,0.0051195241349272025
',0.08466280489568451,0.08973290990389189,0.0050701050082073845
""">",0.0005572588531551395,0.00556621056946533,0.005008951716310191
strategy,0.004590896946029059,0.009560187030630996,0.004969290084601937
company,0.010230346174595693,0.015067451970062602,0.004837105795466909
new,0.02988200525601327,0.03470595145561784,0.0048239461996045715
>,0.011962270068930542,0.016683580441514075,0.004721310372583533
agent,0.0013033411146814934,0.005985326256348087,0.004681985141666593
team,0.011779440830676212,0.016356158919593,0.004576718088916789
trend,0.002673107814059622,0.007177044025257715,0.004503936211198093
content,0.009052915012762145,0.013490501592601414,0.004437586579839269
pro,0.002803029511303904,0.0072303045079390145,0.0044272749966351105
integration,0.0016078448761438363,0.005962516999605449,0.004354672123461613
